electionYear,electionID,electoralUnitID,candidateID,caseNum,protNum,scraperID
2004,14431,01511,299,1549/2004,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=321&comboTribunal=ac,1
2004,14431,27030,31,215/2004,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=215/2004&comboTribunal=al,2
2004,14431,27057,136,081/080,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=081/080&comboTribunal=al,3
2004,14431,27057,137,082/080,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=082/080&comboTribunal=al,4
2004,14431,27235,121,43,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=1501&comboTribunal=al,5
2004,14431,27235,33,34.3,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=1494-N&comboTribunal=al,6
2004,14431,27359,204,04.02/2004,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=4001/04&comboTribunal=al,7
2004,14431,27499,117,38,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=1496&comboTribunal=al,8
2004,14431,27499,118,39,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=1497&comboTribunal=al,9
2004,14431,27499,119,37,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=1495&comboTribunal=al,10
2004,14431,27049,253,19.2,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=19.2&comboTribunal=al,11
2004,14431,27049,240,19.1,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=19.1&comboTribunal=al,12
2004,14431,27537,110,407,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=9&comboTribunal=al,13
2004,14431,27537,109,406,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=9&comboTribunal=al,14
2004,14431,27553,3,05/2004,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=05/2004&comboTribunal=al,15
2004,14431,27553,4,06/2004,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=06/2004&comboTribunal=al,16
2004,14431,27553,65,072/2004,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=072/2004&comboTribunal=al,17
